Input Word,True Output,My Decoded Output,Matching or Not
compose,కంపోజ్,కంపోస్,No
utilities,యుటిలిటీస్,ఉటిలిటైస్,No
viiriddarinii,వీరిద్దరినీ,వీరిద్దరినీ,Yes
frederick,ఫ్రెడరిక్,ఫ్రెడెరిక్క్,No
prabho,ప్రభో,ప్రభో,Yes
gnaapamgaa,జ్ఞాపంగా,జ్ఞాపంగా,Yes
mathew,మాథ్యూ,మతేవ్,No
madrasuku,మద్రాసుకు,మద్రసుకు,No
katihar,కటిహర్,కటిహార్,No
heeraakood,హీరాకూడ్,హీరాకూడ్,Yes
nobul,నోబుల్,నోబుల్,Yes
dharpanam,దర్పణం,ధర్పణం,No
annintinii,అన్నింటినీ,అన్నింటినీ,Yes
uttarakoriyaa,ఉత్తరకొరియా,ఉత్తరకొరియా,Yes
vondala,వొందల,వొండల,No
yedhurkonendhuku,ఎదుర్కొనేందుకు,యేధుర్కొనేందుకు,No
digudu,దిగుడు,దిగుడు,Yes
lancaster,లన్కాస్టర్,ల్నాక్స్టర్,No
undo,ఉందో,ఉండో,No
yemmiganur,ఎమ్మిగనూర్,యెమ్మిగనూర్,No
poll,పోల్,పొల్,No
saiqil,సైకిల్,సైకిల్,Yes
sanoop,సనూప్,సనూప్,Yes
freeman,ఫ్రీమ్యాన్,ఫ్రీమన్,No
chaddi,చద్ది,చద్ది,Yes
gurnani,గుర్ణని,గుర్ణని,Yes
akolkar,అకోల్కర్,అకోల్కర్,Yes
gilmore,గిల్మోర్,గిల్మోర్,Yes
teesenduku,తీసేందుకు,తీసేందుకు,Yes
manasulone,మనసులోనే,మనసులోనే,Yes
kadhalugaa,కధలుగా,కదలుగా,No
prachaaraamsham,ప్రచారాంశం,ప్రచారాంశం,Yes
whistle,విజిల్,విట్ట్ల్,No
prateecharyalo,ప్రతీచర్యలో,ప్రతీచర్యలో,Yes
saanukoolata,సానుకూలత,సానుకూలత,Yes
aerpadaka,ఏర్పడక,ఏర్పడక,Yes
syracuse,సైరక్యూస్,స్రాజుయూస్,No
rasindi,రాసింది,రాసింది,Yes
saralatha,సరళత,సరలత,No
boksing,బాక్సింగ్,బాక్సింగ్,Yes
vydyamlo,వైద్యంలో,విద్యంలో,No
oraacle,ఒరాకిల్,ఓరాక్లె,No
chha,ఛ,చాయా,No
aemaathram,ఏమాత్రం,అమాత్రం,No
sabhalloo,సభల్లో,సభల్లో,Yes
costa,కోస్తా,కోస్టా,No
varninchukuntunnaaru,వర్ణించుకుంటున్నార,వర్ణించుకుంటున్నారు,No
fluuid,ఫ్లూయిడ్,ఫ్లూయిడ్,Yes
cheppay,చెప్పే,చెప్పాయ్,No
daaktarugaa,డాక్టరుగా,డాక్టరుగా,Yes
ghatane,ఘటనే,ఘటననే,No
raallapalli,రాళ్ళపల్లి,రాళ్ళపల్లి,Yes
poosi,పూసి,పూసి,Yes
bhatnagar,భట్నాగర్,భట్నగార్,No
kalugadu,కలుగదు,కలలగగు,No
parishkarinchenduku,పరిష్కరించేందుకు,పరిష్కరించేందుకు,Yes
vijayamu,విజయము,విజయము,Yes
charithrakaarula,చరిత్రకారుల,చరిత్రకారుల,Yes
podhupunu,పొదుపును,పోధుపును,No
azhar,అజహర్,అజర్,No
natistuunee,నటిస్తూనే,నటిస్తూనే,Yes
coimbatore,కోయంబత్తూర్,కొయిబబేటర్,No
rudraa,రుద్రా,రుద్రా,Yes
sanchaara,సంచార,సంచార,Yes
sofhiya,సోఫియా,సోఫియా,Yes
sareeramlooki,శరీరంలోకి,శరీరంలోకి,Yes
mandalini,మండలిని,మందలిని,No
ketkhup,కెచప్,కెత్కుప్,No
kachheri,కచ్చేరీ,కచేచేరి,No
dheepaala,దీపాల,ధీపాల,No
paibhaagaanni,పైభాగాన్ని,పైభాగాన్ని,Yes
tallidandrulato,తల్లిదండ్రులతో,తల్లిదండ్రులతో,Yes
shoes,షూస్,షోజ్,No
shaw,షా,షావ్,No
maakiitopaatu,మాకీతోపాటు,మాకీటోపాటు,No
magavaallu,మగవాళ్ళు,మగవాళ్ళు,Yes
imtaku,ఇంతకు,ఇంతకు,Yes
sambhaashanalalo,సంభాషణలలో,సంభాషణలలో,Yes
pope,పోప్,పోప్,Yes
taggipoyaayi,తగ్గిపోయాయి,తగ్గిపోయాయి,Yes
phenix,ఫీనిక్స్,ఫెనిక్స్,No
dhelleeni,ఢిల్లీని,దీల్లీని,No
madraasuloo,మద్రాసులో,మద్రాసులో,Yes
yogyudagunu,యోగ్యుడగును,యోగ్యుడగును,Yes
teere,తీరే,టీరే,No
swain,స్వెయిన్,స్వైన్,No
theesiveyadaniki,తీసివేయడానికి,తీసివేయడానికి,Yes
jaateeyasthaayilo,జాతీయస్థాయిలో,జాతీయస్థాయిలో,Yes
stets,స్టేట్స్,స్టెట్స్,No
pottaloo,పొట్టలో,పొట్టలో,Yes
navvulaatani,నవ్వులాటని,నవ్వులాటని,Yes
radha,రాధ,రాధా,No
koppadataarani,కోప్పడతారని,కొప్పడతారని,No
cortes,కోర్టెస్,కార్టెస్,No
pratipabha,ప్రతిపభ,ప్రతిపాభ,No
sathyamgaa,సత్యంగా,సత్యంగా,Yes
vyarthamavutunnaayi,వ్యర్థమవుతున్నాయి,వ్యర్థమవుతున్నాయి,Yes
pyramid,పిరమిడ్,పైరామిడ్,No
manchikanti,మంచికంటి,మంచికంటి,Yes
bantito,బంతితో,బంతితో,Yes
delhiki,ఢిల్లీకి,దెల్హికి,No
eastvale,ఎస్త్వలే,ఈస్ట్వేల్,No
pettoddani,పెట్టొద్దని,పెట్టొద్దని,Yes
bishnupur,బిష్ణుపూర్,బిష్నుపూర్,No
fairfield,ఫెయిర్ఫీల్డ్,ఫెయిర్ఫీల్డ్,Yes
mantakalustunnayi,మంటకలుస్తున్నాయి,మంటకలుస్తున్నాయి,Yes
reservation,రిజర్వేషన్,రిసర్వేషన్,No
nivasanni,నివాసాన్ని,నివాసాన్ని,Yes
pinganaashtakamu,పింగనాష్టకము,పింగనాష్టకము,Yes
avery,అవెరీ,యవవరీ,No
uttarayanamu,ఉత్తరాయణము,ఉత్తరాయణము,Yes
purapaalaka,పురపాలక,పురపాలక,Yes
nishedhinchaadu,నిషేధించాడు,నిషేధించాడు,Yes
shaeru,షేరు,షేరు,Yes
minerals,మినరల్స్,మినరాల్స్,No
rajamandri,రాజమండ్రి,రాజమండ్రి,Yes
deevaalayamunu,దేవాలయమును,దీవాలయమును,No
vishwasaneeyatha,విశ్వసనీయత,విశ్వసనీయత,Yes
darilone,దారిలోనే,దారిలోనే,Yes
criyalaku,క్రియలకు,క్రియాలకు,No
logistics,లాజిస్టిక్స్,లాజిస్టిక్స్,Yes
rogalu,రోగాలు,రోగాు,No
balaheenathalanu,బలహీనతలను,బలహీనతలను,Yes
thannina,తన్నిన,తన్నిన,Yes
nyaayanirnetagaa,న్యాయనిర్ణేతగా,న్యాయనిర్ణేతగా,Yes
chadunuga,చదునుగా,చదునుగా,Yes
visheshanam,విశేషణం,విశేషణం,Yes
jagaragallu,జాగరాగల్లు,జాగరగల్లు,No
jeens,జీన్స్,జీన్స్,Yes
richaa,రిచా,రిచా,Yes
praantaala,ప్రాంతాల,ప్రాంతాల,Yes
yenda,ఎండ,యెండా,No
swaralu,స్వరాలు,స్వరాలు,Yes
elina,ఏలిన,ఎలినా,No
unchaali,ఉంచాలి,ఉంచాలి,Yes
shathakam,శతకం,శతకం,Yes
raapid,రాపిడ్,రాపిద్,No
tesukelutunnaamani,తీసుకెళుతున్నామని,తేసుకెళుతున్నామని,No
pradarshistunnada,ప్రదర్శిస్తున్నాడా,ప్రదర్శిస్తున్నాడా,Yes
penchukunenduku,పెంచుకునేందుకు,పెంచుకునేందుకు,Yes
fortis,ఫోర్టిస్,ఫార్టిస్,No
tanakuu,తనకూ,తనకూ,Yes
yuddavimaanaallo,యుద్ధవిమానాల్లో,యుద్దవిమానాల్లో,No
nethaajelo,నేతాజీలో,నేతాజెలో,No
panicheyinchukunnaarani,పనిచేయించుకున్నారన,పనిచేయించుకున్నారని,No
spirits,స్పిరిట్స్,స్పిరిట్స్,Yes
bhayaanakamgaa,భయానకంగా,భయానకంగా,Yes
doopideelu,దోపిడీలు,దూపిదీలు,No
prakatinchadamloni,ప్రకటించడంలోని,ప్రకటించడంలోని,Yes
maharashtra,మహారాష్ట్ర,మహారాష్ట్ర,Yes
cheppisthondani,చెప్పిస్తోందని,చెప్పిస్తోందని,Yes
soto,సోతో,సోటో,No
dinchanunnadi,దించనున్నది,దించనున్నది,Yes
larson,లార్సన్,లార్సన్,Yes
kundabaddalu,కుండబద్దలు,కుండబడ్డలు,No
dev,దేవ్,దెవ్,No
antaristaaru,అంతరిస్తారు,అంతరిస్తారు,Yes
koojaa,కూజా,కూజా,Yes
perkonandi,పేర్కొనండి,పేర్కొనండి,Yes
gehlot,గెహ్లాట్,గెహ్లోట్,No
duradrushtavashaattu,దురదృష్టవశాత్తు,దురదృష్టవరష్ట్ు,No
dallaas,డల్లాస్,దల్లాస్,No
sangatini,సంగతిని,సంగటిని,No
marks,మార్క్స్,మార్క్స్,Yes
feedeeration,ఫెడరేషన్,ఫీడర్షన్,No
teesukupovadaaniki,తీసుకుపోవడానికి,తీసుకుపోవడానికి,Yes
daggarloeni,దగ్గర్లోని,దగ్గర్లోని,Yes
chandernagore,చండర్నగర్,చాంద్రేనారోజ్,No
nalo,నాలో,నాలో,Yes
vyooharachanalloonoo,వ్యూహరచనల్లోనూ,వ్యోహరచాలన్లోనూ,No
leraa,లేరా,లేరా,Yes
thathvavethalu,తత్వవేత్తలు,తత్వవేతలు,No
kansal,కాన్సల్,కాన్సాల్,No
vaenkatasaastri,వేంకటశాస్త్రి,వేంకటశాస్త్రి,Yes
churchilalo,చర్చిలలో,చూర్చిలలో,No
naaz,నాజ్,నాజ్,Yes
charchinchadaniki,చర్చించడానికి,చర్చించడానికి,Yes
nainital,నైనిటాల్,నైనిటల్,No
bannari,బణ్ణారి,బన్నారి,No
vibhoodhi,విభూది,విభూధి,No
taati,తాటి,తాటి,Yes
guwahati,గౌహతి,గువాహతి,No
inappatikee,ఐనప్పటికీ,ఇనప్పటికీ,No
cheppalekapoyaru,చెప్పలేకపోయారు,చెప్పలేకపోయారు,Yes
leduraa,లేదురా,లేదురా,Yes
aromatics,అరొమ్యటిక్స్,అరోమాటిక్స్,No
ithivrutthaalu,ఇతివృత్తాలు,ఇతివృత్తాలు,Yes
kaasiloo,కాశీలో,కాసిలో,No
choosinatlayite,చూసినట్లయితే,చూసినట్లయితే,Yes
kaamredlu,కామ్రేడ్లు,కామెర్డ్లు,No
keerti,కీర్తి,కీర్తి,Yes
rane,రానే,రాన్,No
cheppinatlugaa,చెప్పినట్లుగా,చెప్పినట్లుగా,Yes
pravesinche,ప్రవేశించే,ప్రవేశించే,Yes
godhumalanu,గోధుమలను,గోధుమలను,Yes
daman,డామన్,డామా్,No
thalapimchey,తలపించే,తలపించేయ్,No
hydrocarba,హైడ్రోకార్బ,హైడ్రోకార్బా,No
vitthanam,విత్తనం,విత్తనం,Yes
theesukookundaa,తీసుకోకుండా,తీసుకోకుండా,Yes
sind,సింద్,సిండ్,No
kalraa,కలరా,కల్రా,No
gosangi,గోసంగి,గోసంగి,Yes
sheershikaku,శీర్షికకు,శీర్షికకు,Yes
teelchadam,తేల్చడం,తేల్చడం,Yes
betul,బెటుల్,బెతుల్,No
dibrugarh,డిబ్రూగర్,డిబ్రూహర్,No
kochi,కొచ్చి,కొచ్చి,Yes
heal,హీల్,హెలల్,No
watson,వాట్సన్,వాట్సన్,Yes
naayaku,నాయకు,నాయకు,Yes
todella,తోడేళ్ళ,తోడేళ్ళ,Yes
washington,వాషింగ్టన్,వాషింగ్టన్,Yes
waagwaadaaniki,వాగ్వాదానికి,వాగ్వాదానికి,Yes
urdulo,ఉర్దూలో,ఉర్దులో,No
asthramulu,అస్త్రములు,అస్థ్రములు,No
poshinchaannaaru,పోషించాన్నారు,పోషించాన్నారు,Yes
khandinchi,ఖండించి,ఖండించి,Yes
divyamyna,దివ్యమైన,దివ్యమ్యన,No
pramanamulu,ప్రమాణములు,ప్రమాణములు,Yes
jaipur,జైపూర్,జైపూర్,Yes
paeda,పేడ,పేదా,No
kashtamie,కష్టమై,కష్టమీ,No
cheppalani,చెప్పాలని,చెప్పాలని,Yes
rendintalu,రెండింతలు,రెండింతలు,Yes
terapaina,తెరపైన,తెరపైన,Yes
andamunu,అందమును,అందమును,Yes
muulikaa,మూలికా,మూలికా,Yes
portillo,పోర్టిల్లో,పోర్టిల్లో,Yes
telchindi,తేల్చింది,తేల్చింది,Yes
melin,మేలిన్,మెలిన్,No
moradabad,మొరాదాబాద్,మొరాాడాద్,No
amer,అమీర్,అమెర్,No
vyavaharistondani,వ్యవహరిస్తోందని,వ్యవహరిస్తోందని,Yes
phaaloo,ఫాలో,ఫాలో,Yes
niraakarinchataanni,నిరాకరించటాన్ని,నిరాకరించటాన్ని,Yes
pandagaa,పండగా,పండగా,Yes
jarnalistulanu,జర్నలిస్టులను,జర్నలిస్తులను,No
sijanlo,సీజన్లో,సిజన్లో,No
praarambhinchaaranna,ప్రారంభించారన్న,ప్రారంభించారన్న,Yes
hassan,హాసన్,హస్సాన్,No
ganibavinchi,ఘనీభవించి,గనిబవించి,No
bathroomloni,బాత్రూంలోని,బత్రూంలోని,No
sarvasabhya,సర్వసభ్య,సర్వశభ్య,No
laen,లేన్,లెన్,No
maddox,మ్యడ్డాక్స్,మడ్డాక్స్,No
vestunnaarenti,వేస్తున్నారేంటి,వేస్తున్నారేంటి,Yes
paasta,పాస్తా,పాస్త,No
taaraabaasov,తారాబాసోవ్,తారాబాసోవ్,Yes
phalitaalato,ఫలితాలతో,ఫలితాలతో,Yes
shmashanavatika,శ్మశానవాటిక,శ్షమశవాతిక,No
rajahmundry,రాజమండ్రి,రాజా్ముంద్రి,No
yerpadenduku,ఏర్పడేందుకు,ఏర్పడేందుకు,Yes
paalpadindi,పాల్పడింది,పాల్పడింది,Yes
vintuu,వింటూ,వింటూ,Yes
paruvupoyi,పరువుపోయి,పరువుపోయి,Yes
inc,ఇంక్,ఇన్కీ,No
piji,పిజి,పిజి,Yes
rockford,రాక్ఫోర్డ్,రాక్కోర్డ్,No
mayuuram,మయూరం,మయూరం,Yes
agnipramaadam,అగ్నిప్రమాదం,అగ్నిప్రమాదం,Yes
adhyayanamu,అధ్యయనము,అధ్యయనము,Yes
dopidiki,దోపిడీకి,దోపిడికి,No
chanakya,చాణక్య,చాణక్య,Yes
utthamamgaa,ఉత్తమంగా,ఉత్తమంగా,Yes
viswasaniiyamgaa,విశ్వసనీయంగా,విశ్వసనీయంగా,Yes
dongala,దొంగలా,దొంగల,No
devalayam,దేవాలయం,దేవాలయం,Yes
dhadito,దాడితో,ధడితో,No
miller,మిల్లెర్,మిలర్,No
kunuku,కునుకు,కునుకు,Yes
geraald,గెరాల్డ్,గెరాల్డ్,Yes
marche,మార్చే,మార్చే,Yes
innayya,ఇన్నయ్య,ఇన్నయ్య,Yes
undho,ఉందో,ఉండో,No
unnadi,ఉన్నది,ఉన్నది,Yes
muulikala,మూలికల,మూలికల,Yes
dopidee,దోపిడీ,డోపిడీ,No
saralata,సరళత,సరళత,Yes
bhatt,భట్,భట్ట్,No
yamakinkarulu,యమకింకరులు,యమకింకరులు,Yes
vishwaasaalanu,విశ్వాసాలను,విశ్వాసాలను,Yes
impugaa,ఇంపుగా,ఇంపుగా,Yes
cheppukonnappatiki,చెప్పుకొన్నప్పటికీ,చెప్పుకొన్నప్పటికీ,Yes
bengaluru,బెంగళూరు,బెంగళూరు,Yes
dayton,డేటన్,డయటటన్,No
mudadugula,మూడడుగుల,ముడదుగుల,No
vilekharulato,విలేఖరులతో,విలేఖరులతో,Yes
raaninchaadu,రాణించాడు,రాణించాడు,Yes
ochoa,ఒచోవా,ఒచ్చా,No
kakeseeaar,కకేసీఆర్,కాకేసీయారు,No
september,సెప్టెంబర్,సెప్టెంబర్,Yes
hastal,హాస్టల్,హస్తాల్,No
divaan,దివాన్,దివాన్,Yes
gutti,గుట్టి,గుట్టి,Yes
panchakamu,పంచకము,పంచకము,Yes
berlin,బెర్లిన్,బెర్లిన్,Yes
sangli,సంగ్లీ,సాంగ్లి,No
holidays,హాలిడేస్,హోలీడేస్,No
dahlan,డహ్లాన్,దహ్లా్,No
len,లేన్,లెన్,No
dhvaninche,ధ్వనించే,ధ్వనించే,Yes
nerasthulaku,నేరస్థులకు,నేరస్థులకు,Yes
vinaayakudu,వినాయకుడి,వినాయకుడు,No
gaayanii,గాయనీ,గాయనీ,Yes
chotulo,చోటులో,చోటులో,Yes
sanghaaniki,సంఘానికి,సంఘానికి,Yes
chaeyunu,చేయును,చేయును,Yes
gurtinchadagga,గుర్తించదగ్గ,గుర్తించదగ్గ,Yes
flynn,ఫ్లిన్,ఫ్లిన్,Yes
raajadhaanulu,రాజధానులు,రాజధానులు,Yes
pasco,పాస్కో,పాస్కో,Yes
eeloogaa,ఈలోగా,ఈలోగా,Yes
nersthulanu,నేరస్థులను,నేర్స్థులను,No
diviteeni,దివిటీని,దివిటీని,Yes
funk,ఫంక్,ఫంక్,Yes
vijayaalanu,విజయాలను,విజయాలను,Yes
yellu,ఏళ్లు,యెల్లు,No
mehra,మెహ్రా,మెహ్రా,Yes
chebutunnaamane,చెబుతున్నామనే,చెబుతున్నామనే,Yes
carey,క్యారీ,కారే,No
madikeri,మదికెరి,మాడికరరి,No
cheetu,చేటు,చీటు,No
darakhaastulu,దరఖాస్తులు,దరఖాస్తులు,Yes
prasaaraalaku,ప్రసారాలకు,ప్రసారాలకు,Yes
aghaani,అజ్ఞాని,అఘాని,No
keerthini,కీర్తిని,కీర్తిని,Yes
sampradinchaaru,సంప్రదించారు,సంప్రదించారు,Yes
podachupayi,పొడచూపాయి,పొడచుపాయి,No
shobhitudai,శోభితుడై,శోభితుడై,Yes
aalochistunnaamannaaru,ఆలోచిస్తున్నామన్నా,ఆలోచిస్తున్నారన్నారు,No
reputunnaayi,రేపుతున్నాయి,రేపుతున్నాయి,Yes
anyapadesamga,అన్యాపదేశంగా,అన్యపదేశంగా,No
raajavvato,రాజవ్వతో,రాజవ్వతో,Yes
dhaanya,ధాన్య,ధాన్య,Yes
