True Input,True Output,My Decoded Output,Matching or Not
novosellic,నోవోసెల్లిక్,నూవోసెల్లిక్,No
sira,సిరా,సిరా,Yes
santaanotpattiki,సంతానోత్పత్తికి,సంతానోత్పత్తికి,Yes
charithrakarula,చరిత్రకారులు,చరిత్రకారుల,No
staem,స్టెమ్,స్టాం్,No
grahaaniki,గ్రహానికి,గ్రహానికి,Yes
prakatinchukontunnaaru,ప్రకటించుకొంటున్నా,ప్రకటించుకొంటున్నారు,No
hines,హైన్స్,హైనెస్,No
gajaendhra,గజేంద్ర,గాజేంద్ర,No
buchanan,బుచానన్,బుచనాన్,No
kottataadu,కొట్టతాడు,కొత్తతాడు,No
niraasaku,నిరాసకు,నిరాశకు,No
iddarni,ఇద్దర్ని,ఇద్దర్ని,Yes
maarchestaaranukunna,మార్చేస్తారనుకున్న,మార్చేస్తారనుకున్న,Yes
savaallu,సవాళ్లు,సవాళ్లు,Yes
pattina,పట్టిన,పట్టిన,Yes
bender,బెండర్,బెండెర్,No
barai,బారై,బరాయి,No
prayojanakarangaa,ప్రయోజనకరంగా,ప్రయోజనకరంంగా,No
undhannadi,ఉందన్నది,ఉంధన్నది,No
rivas,రివాస్,రివాస్,Yes
pramaanha,ప్రమాణ,ప్రమాహా,No
maarutunnaananii,మారుతున్నాననీ,మారుతున్నాననీ,Yes
ekkuvagaane,ఎక్కువగానే,ఎక్కువగానే,Yes
praveshapettabadindho,ప్రవేశపెట్టబడిందో,ప్రవేశపెట్టబడిందో,Yes
bulandshahr,బులంద్షహర్,బులండ్హాశర్,No
arhuraalani,అర్హురాలని,అర్హురాలని,Yes
castaneda,కాస్టనెడ,కాస్టానేదా,No
nruthyaaniki,నృత్యానికి,నృత్యానికి,Yes
dohadapade,దోహదపడే,దోహహపడడే,No
dispur,దిస్పుర్,దిస్పూర్,No
ounu,ఔను,ఓను,No
vikki,విక్కీ,విక్కి,No
buttinchu,బుట్టించు,బుట్టించు,Yes
choosukovaalani,చూసుకోవాలని,చూసుకోవాలని,Yes
sikimdar,సికిందర్,సికిందార్,No
avataar,అవతార్,అవతార్,Yes
chotuchaesukuntaayi,చోటుచేసుకుంటాయి,చోటుచేసుకుంటాయి,Yes
cosamani,కోసమని,కోసామని,No
teesukuntaamani,తీసుకుంటామని,తీసుకుంటామని,Yes
angeekarinchi,అంగీకరించి,అంగీకరించి,Yes
castalloy,కాస్ట్అల్లాయ్,కాస్టాల్లోయ్,No
saakshyaalanu,సాక్ష్యాలను,సాక్ష్యాలను,Yes
vahinchina,వహించినా,వహించిన,No
jaataralo,జాతరలో,జాతరలో,Yes
deeshamunaku,దేశమునకు,దీశమునకు,No
dharmshala,ధర్మశాల,ధర్ష్భల,No
kaladi,కలదీ,కలది,No
eaton,ఎటన్,ఈటన్,No
pettukuntunnaare,పెట్టుకుంటున్నారే,పెట్టుకుంటున్నారే,Yes
whirlpool,వర్లపుల్,విర్ల్పూల్,No
nirdharinchadam,నిర్ధారించడం,నిర్ధరించడం,No
aasrayinchaaru,ఆశ్రయించారు,ఆశ్రయించారు,Yes
anoo,అనో,అనూ,No
sathyamuurthi,సత్యమూర్తి,సత్యమూర్తి,Yes
alwadhi,అల్వాధి,అల్వాధీ,No
manro,మన్రో,మన్రో,Yes
tappinchukovadamlonoo,తప్పించుకోవడంలోనూ,తప్పించుకోవడంలోనూ,Yes
atul,అతుల్,అటలు,No
nirdhaarinchaadu,నిర్ధారించాడు,నిర్ధారించాడు,Yes
jeffersonville,జెఫర్సన్విల్,జెఫర్నివ్వాల్లే,No
tiwari,తివారి,తివారీ,No
dhishaa,దిశా,ధీషా,No
durgavansh,దుర్గవంష్,దుర్గావా్్,No
chikkati,చిక్కటి,చిక్కటి,Yes
prozect,ప్రాజెక్ట్,ప్రోజెక్ట్,No
ladakh,లడఖ్,లాడాఖా,No
darmapuri,ధర్మపురి,దర్మాపూరి,No
behuria,బెహూరియా,బహహూరియా,No
samudramulo,సముద్రములో,సముద్రములో,Yes
olympia,ఒలింపియా,ఓలింపియా,No
tanikhilu,తనిఖీలు,తనిఖిలు,No
mantapamu,మంటపము,మంటపాము,No
caart,కార్ట్,కార్ట్,Yes
oorugallunu,ఓరుగల్లును,ఊరుగల్లును,No
criyalu,క్రియలు,క్రియాలు,No
ivvaalanna,ఇవ్వాలన్న,ఇవ్వాలన్న,Yes
nirnayamtho,నిర్ణయంతో,నిర్ణయంతో,Yes
brahmaanda,బ్రహ్మాండ,బ్రహ్మాండ,Yes
parinamistaaru,పరిణమిస్తారు,పరిణమిస్తారు,Yes
pacifica,పసిఫిక,పాపిఫికా,No
chengalpattu,చెంగల్పట్టు,చెంగల్పట్టు,Yes
pinni,పిన్ని,పిన్ని,Yes
behar,బెహర్,బెహర్,Yes
buldhana,బుల్ధనా,బుల్ధానా,No
chinnadi,చిన్నది,చిన్నాి,No
angikarinche,అంగీకరించే,అంగికరించే,No
praananga,ప్రాణంగా,ప్రాణంగా,Yes
vaivaswatha,వైవస్వత,వైవస్వత,Yes
truptimundu,తృప్తిముందు,తృప్తిముందు,Yes
daallaas,డల్లాస్,డాళ్లాస్,No
whiski,విస్కీ,వీష్కి,No
mishato,మిషతో,మిషాతో,No
compose,కంపోజ్,కంపోస్,No
utilities,యుటిలిటీస్,యుిలిటైస్,No
viiriddarinii,వీరిద్దరినీ,విరీద్దరినీ,No
frederick,ఫ్రెడరిక్,ఫ్రెడిక్స్,No
prabho,ప్రభో,ప్రభో,Yes
gnaapamgaa,జ్ఞాపంగా,జ్ఞాపంగా,Yes
mathew,మాథ్యూ,మాటే,No
madrasuku,మద్రాసుకు,మద్రసుకు,No
katihar,కటిహర్,కతీహార్,No
heeraakood,హీరాకూడ్,హీరాకూడ్,Yes
nobul,నోబుల్,నోబుల్,Yes
dharpanam,దర్పణం,ధర్పనం,No
annintinii,అన్నింటినీ,అన్నింటినీ,Yes
uttarakoriyaa,ఉత్తరకొరియా,ఉత్తరకొరియా,Yes
vondala,వొందల,వొందల,Yes
yedhurkonendhuku,ఎదుర్కొనేందుకు,యెధుర్కొనేందుకు,No
digudu,దిగుడు,దిగుడు,Yes
lancaster,లన్కాస్టర్,లాన్కాస్టర్,No
undo,ఉందో,ఉండో,No
yemmiganur,ఎమ్మిగనూర్,యెమ్మిగననర్,No
poll,పోల్,పోల్,Yes
saiqil,సైకిల్,సైకిల్,Yes
sanoop,సనూప్,సనూప్,Yes
freeman,ఫ్రీమ్యాన్,ఫ్రీమన్,No
chaddi,చద్ది,చద్ది,Yes
gurnani,గుర్ణని,గుర్నాని,No
akolkar,అకోల్కర్,అకోల్కర్,Yes
gilmore,గిల్మోర్,గిల్లోరే,No
teesenduku,తీసేందుకు,తీసేందుకు,Yes
manasulone,మనసులోనే,మనసులోనే,Yes
kadhalugaa,కధలుగా,కదలుగా,No
prachaaraamsham,ప్రచారాంశం,ప్రచారాంశం,Yes
whistle,విజిల్,విష్ట్లే,No
prateecharyalo,ప్రతీచర్యలో,ప్రతచీర్యలో,No
saanukoolata,సానుకూలత,సానుకూలత,Yes
aerpadaka,ఏర్పడక,ఏర్పడక,Yes
syracuse,సైరక్యూస్,సైరక్యూజ్,No
rasindi,రాసింది,రాసింది,Yes
saralatha,సరళత,సరలాథ,No
boksing,బాక్సింగ్,బోక్సింగ్,No
vydyamlo,వైద్యంలో,వైద్యంలో,Yes
oraacle,ఒరాకిల్,ఒరాక్ల్,No
chha,ఛ,చ్చా,No
aemaathram,ఏమాత్రం,ఏమాత్రం,Yes
sabhalloo,సభల్లో,శభల్లో,No
costa,కోస్తా,కోస్టా,No
varninchukuntunnaaru,వర్ణించుకుంటున్నార,వర్ణించుకుంటున్నారు,No
fluuid,ఫ్లూయిడ్,ఫ్లూడ్,No
cheppay,చెప్పే,చెప్పాయ్,No
daaktarugaa,డాక్టరుగా,దాక్టరుగా,No
ghatane,ఘటనే,ఘటానే,No
raallapalli,రాళ్ళపల్లి,రాళ్లపల్లి,No
poosi,పూసి,పూసి,Yes
bhatnagar,భట్నాగర్,భట్నాగర్,Yes
kalugadu,కలుగదు,కలుగాడు,No
parishkarinchenduku,పరిష్కరించేందుకు,పరిష్కరించేందుకు,Yes
vijayamu,విజయము,విజయము,Yes
charithrakaarula,చరిత్రకారుల,చరిత్రకారుల,Yes
podhupunu,పొదుపును,పోడుపును,No
azhar,అజహర్,అజర్,No
natistuunee,నటిస్తూనే,నటిస్తూనే,Yes
coimbatore,కోయంబత్తూర్,కాయింబోరేట్,No
rudraa,రుద్రా,రుద్రా,Yes
sanchaara,సంచార,సంచార,Yes
sofhiya,సోఫియా,సోఫియ,No
sareeramlooki,శరీరంలోకి,శరీరంలోకి,Yes
mandalini,మండలిని,మందలిని,No
ketkhup,కెచప్,కెత్కుప్,No
kachheri,కచ్చేరీ,కచ్చెరి,No
dheepaala,దీపాల,దీపాల,Yes
paibhaagaanni,పైభాగాన్ని,పైభాగాన్ని,Yes
tallidandrulato,తల్లిదండ్రులతో,తల్లిదండ్రులతో,Yes
shoes,షూస్,షోయ్స్,No
shaw,షా,షారా,No
maakiitopaatu,మాకీతోపాటు,మాకీతోపాటు,Yes
magavaallu,మగవాళ్ళు,మగవాళ్లు,No
imtaku,ఇంతకు,ఇంటకు,No
sambhaashanalalo,సంభాషణలలో,సంభాషణలలో,Yes
pope,పోప్,పోపియా,No
taggipoyaayi,తగ్గిపోయాయి,తగ్గిపోయాయి,Yes
phenix,ఫీనిక్స్,ఫెనిక్స్,No
dhelleeni,ఢిల్లీని,ధెల్లీని,No
madraasuloo,మద్రాసులో,మద్రాసులో,Yes
yogyudagunu,యోగ్యుడగును,యోగ్యుడగును,Yes
teere,తీరే,తీరే,Yes
swain,స్వెయిన్,స్వైన్,No
theesiveyadaniki,తీసివేయడానికి,తీసివేయడానికి,Yes
jaateeyasthaayilo,జాతీయస్థాయిలో,జాతీయస్థాయిలో,Yes
stets,స్టేట్స్,స్టెట్స్,No
pottaloo,పొట్టలో,పొట్టలో,Yes
navvulaatani,నవ్వులాటని,నవ్వులాటని,Yes
radha,రాధ,రా,No
koppadataarani,కోప్పడతారని,కొప్పదతారని,No
cortes,కోర్టెస్,కార్టెస్,No
pratipabha,ప్రతిపభ,ప్రతిపాభ,No
sathyamgaa,సత్యంగా,సత్యంగా,Yes
vyarthamavutunnaayi,వ్యర్థమవుతున్నాయి,వ్య్యరమవుతున్నాయి,No
pyramid,పిరమిడ్,పైరామిడ్,No
manchikanti,మంచికంటి,మంచికాంతి,No
bantito,బంతితో,బంటితో,No
delhiki,ఢిల్లీకి,దెలికి,No
eastvale,ఎస్త్వలే,ఈస్త్వాలే,No
pettoddani,పెట్టొద్దని,పెట్టొద్దని,Yes
bishnupur,బిష్ణుపూర్,బిష్ణుపూర్,Yes
fairfield,ఫెయిర్ఫీల్డ్,ఫెయిర్ఫీల్డ్,Yes
mantakalustunnayi,మంటకలుస్తున్నాయి,మంటకలుస్తున్నాయి,Yes
reservation,రిజర్వేషన్,రిసర్వేషన్,No
nivasanni,నివాసాన్ని,నివాసాన్ని,Yes
pinganaashtakamu,పింగనాష్టకము,పింగనాషషటకము,No
avery,అవెరీ,అవర్,No
uttarayanamu,ఉత్తరాయణము,ఉత్తరాయణము,Yes
purapaalaka,పురపాలక,పురపాలక,Yes
nishedhinchaadu,నిషేధించాడు,నిషేధించాడు,Yes
shaeru,షేరు,షేరు,Yes
minerals,మినరల్స్,మినరరల్స్,No
rajamandri,రాజమండ్రి,రాజమంద్రి,No
deevaalayamunu,దేవాలయమును,దీవాలయమును,No
vishwasaneeyatha,విశ్వసనీయత,విశ్వసనీయత,Yes
darilone,దారిలోనే,దాిలోనే,No
criyalaku,క్రియలకు,క్రియాలకు,No
logistics,లాజిస్టిక్స్,లాజిస్టిక్స్,Yes
rogalu,రోగాలు,రోగలు,No
balaheenathalanu,బలహీనతలను,బలహీనతలను,Yes
thannina,తన్నిన,తన్నిన,Yes
nyaayanirnetagaa,న్యాయనిర్ణేతగా,న్యాయనిర్ణేతగా,Yes
chadunuga,చదునుగా,చదునుగా,Yes
visheshanam,విశేషణం,విషేషణం,No
jagaragallu,జాగరాగల్లు,జగరగగళ్లు,No
jeens,జీన్స్,జీన్స్,Yes
richaa,రిచా,రిచ్చా,No
praantaala,ప్రాంతాల,ప్రాంతాల,Yes
yenda,ఎండ,యెండ,No
swaralu,స్వరాలు,స్వరాలు,Yes
elina,ఏలిన,ఏలిన,Yes
unchaali,ఉంచాలి,ఉంచాలి,Yes
shathakam,శతకం,శాకం,No
raapid,రాపిడ్,రాపిడ్,Yes
tesukelutunnaamani,తీసుకెళుతున్నామని,తెసుకెలుతున్నామని,No
pradarshistunnada,ప్రదర్శిస్తున్నాడా,ప్రదర్శిస్తున్నాడ,No
penchukunenduku,పెంచుకునేందుకు,పెంచుకునేందుకు,Yes
fortis,ఫోర్టిస్,ఫార్టిస్,No
tanakuu,తనకూ,తకకూ,No
yuddavimaanaallo,యుద్ధవిమానాల్లో,యుద్దవిమానాల్లో,No
nethaajelo,నేతాజీలో,నేతాతోలో,No
panicheyinchukunnaarani,పనిచేయించుకున్నారన,పనిచేయించుకున్నారని,No
spirits,స్పిరిట్స్,స్పిరిట్స్,Yes
bhayaanakamgaa,భయానకంగా,భయానకంగా,Yes
doopideelu,దోపిడీలు,దూపిడీలు,No
prakatinchadamloni,ప్రకటించడంలోని,ప్రకటించడంలోని,Yes
maharashtra,మహారాష్ట్ర,మహారాష్ట్ర,Yes
cheppisthondani,చెప్పిస్తోందని,చెప్పిస్తోందని,Yes
soto,సోతో,సోటో,No
dinchanunnadi,దించనున్నది,దించనున్నది,Yes
larson,లార్సన్,లార్సన్,Yes
kundabaddalu,కుండబద్దలు,కుండబడ్డలు,No
dev,దేవ్,దెవ్,No
antaristaaru,అంతరిస్తారు,అంతరిస్తారు,Yes
koojaa,కూజా,కూజా,Yes
perkonandi,పేర్కొనండి,పేర్కొనండి,Yes
gehlot,గెహ్లాట్,గెహ్లోట్,No
duradrushtavashaattu,దురదృష్టవశాత్తు,దురదృష్టవాత్తు,No
dallaas,డల్లాస్,డళ్లాస్,No
sangatini,సంగతిని,సంగతిని,Yes
marks,మార్క్స్,మార్క్స్,Yes
feedeeration,ఫెడరేషన్,ఫీడీరేషన్,No
teesukupovadaaniki,తీసుకుపోవడానికి,తీసుకుపోవడానికి,Yes
daggarloeni,దగ్గర్లోని,దగ్గర్లోని,Yes
chandernagore,చండర్నగర్,చంద్రనేగోరే,No
nalo,నాలో,నలో,No
vyooharachanalloonoo,వ్యూహరచనల్లోనూ,వ్యూహరణచల్లోనూ,No
leraa,లేరా,లేరా,Yes
thathvavethalu,తత్వవేత్తలు,తత్వవేతలు,No
kansal,కాన్సల్,కన్సాల్,No
vaenkatasaastri,వేంకటశాస్త్రి,వేంకటశాస్త్రి,Yes
churchilalo,చర్చిలలో,చుర్చిలలో,No
naaz,నాజ్,నాజ్,Yes
charchinchadaniki,చర్చించడానికి,చర్చించడానికి,Yes
nainital,నైనిటాల్,నైనిటల్,No
bannari,బణ్ణారి,బన్నారి,No
vibhoodhi,విభూది,విభూరి,No
taati,తాటి,తాటి,Yes
guwahati,గౌహతి,గువాహటి,No
inappatikee,ఐనప్పటికీ,ఇనప్పటికీ,No
cheppalekapoyaru,చెప్పలేకపోయారు,చెప్పలేకపోయారు,Yes
leduraa,లేదురా,లెదురా,No
aromatics,అరొమ్యటిక్స్,ఆరోమాటిక్స్,No
ithivrutthaalu,ఇతివృత్తాలు,ఇతివృత్తాలు,Yes
kaasiloo,కాశీలో,కాసిలో,No
choosinatlayite,చూసినట్లయితే,చూసినట్లయితే,Yes
kaamredlu,కామ్రేడ్లు,కాంరెడ్లు,No
keerti,కీర్తి,కీర్తి,Yes
rane,రానే,రనే,No
cheppinatlugaa,చెప్పినట్లుగా,చెప్పినట్లుగా,Yes
pravesinche,ప్రవేశించే,ప్రవేశించే,Yes
godhumalanu,గోధుమలను,గోధుమలను,Yes
daman,డామన్,డామాన్,No
thalapimchey,తలపించే,తలపించే,Yes
hydrocarba,హైడ్రోకార్బ,హైడ్రోకార్బా,No
vitthanam,విత్తనం,విత్తనం,Yes
theesukookundaa,తీసుకోకుండా,తీసుకోకుండా,Yes
sind,సింద్,సిండ్,No
kalraa,కలరా,కల్రా,No
gosangi,గోసంగి,గోషంగి,No
sheershikaku,శీర్షికకు,శీర్షికకు,Yes
teelchadam,తేల్చడం,తీల్చడం,No
betul,బెటుల్,బెటల్,No
dibrugarh,డిబ్రూగర్,దిబుర్గార్,No
kochi,కొచ్చి,కొచ్చి,Yes
heal,హీల్,హీల్,Yes
watson,వాట్సన్,వాట్సన్,Yes
naayaku,నాయకు,నాయకు,Yes
todella,తోడేళ్ళ,తోడెళ్ల,No
washington,వాషింగ్టన్,వాషింగ్టన్,Yes
waagwaadaaniki,వాగ్వాదానికి,వాగ్వాదానికి,Yes
urdulo,ఉర్దూలో,ఉర్దులో,No
asthramulu,అస్త్రములు,ఆస్త్రములు,No
poshinchaannaaru,పోషించాన్నారు,పోషించాన్నారు,Yes
khandinchi,ఖండించి,ఖండించి,Yes
divyamyna,దివ్యమైన,దివ్యమీన,No
pramanamulu,ప్రమాణములు,ప్రమాణములు,Yes
jaipur,జైపూర్,జైూూర్,No
paeda,పేడ,పేడా,No
kashtamie,కష్టమై,కష్టమీ,No
cheppalani,చెప్పాలని,చెప్పాలని,Yes
rendintalu,రెండింతలు,రెండింతలు,Yes
terapaina,తెరపైన,తెరపైన,Yes
andamunu,అందమును,అందమును,Yes
muulikaa,మూలికా,మూలికా,Yes
portillo,పోర్టిల్లో,పోర్టిల్లో,Yes
telchindi,తేల్చింది,తేల్చింది,Yes
melin,మేలిన్,మెలిన్,No
moradabad,మొరాదాబాద్,మొరదబడ్,No
amer,అమీర్,అమర్ర్,No
vyavaharistondani,వ్యవహరిస్తోందని,వ్యవహరిస్తోందని,Yes
phaaloo,ఫాలో,ఫాలో,Yes
niraakarinchataanni,నిరాకరించటాన్ని,నిరాకరించటాన్ని,Yes
pandagaa,పండగా,పండగా,Yes
jarnalistulanu,జర్నలిస్టులను,జర్నలిస్తులను,No
sijanlo,సీజన్లో,సిజన్లో,No
praarambhinchaaranna,ప్రారంభించారన్న,ప్రారంభించారన్న,Yes
hassan,హాసన్,హస్సన్,No
ganibavinchi,ఘనీభవించి,గనిబావించి,No
bathroomloni,బాత్రూంలోని,బత్ర్హోలోని,No
sarvasabhya,సర్వసభ్య,సర్వసభ్య,Yes
laen,లేన్,లెన్,No
maddox,మ్యడ్డాక్స్,మడ్్డక్స్,No
vestunnaarenti,వేస్తున్నారేంటి,వేస్తున్నారేంటి,Yes
paasta,పాస్తా,పాస్త,No
taaraabaasov,తారాబాసోవ్,తారాబాశోవ్,No
phalitaalato,ఫలితాలతో,ఫలితాలతో,Yes
shmashanavatika,శ్మశానవాటిక,ష్షమణవాటికా,No
rajahmundry,రాజమండ్రి,రాజమహండ్డిరీ,No
yerpadenduku,ఏర్పడేందుకు,ఏర్పడేందుకు,Yes
paalpadindi,పాల్పడింది,పాల్పడింది,Yes
vintuu,వింటూ,వింటూ,Yes
paruvupoyi,పరువుపోయి,పరువుపోయి,Yes
inc,ఇంక్,ఇఎన్ఐఎ,No
piji,పిజి,పిజి,Yes
rockford,రాక్ఫోర్డ్,రాక్ఫోర్డ్,Yes
mayuuram,మయూరం,మాయూరం,No
agnipramaadam,అగ్నిప్రమాదం,అగ్నిపర్మాదం,No
adhyayanamu,అధ్యయనము,అధ్యయనము,Yes
dopidiki,దోపిడీకి,దోపిదికి,No
chanakya,చాణక్య,చాణక్య,Yes
utthamamgaa,ఉత్తమంగా,ఉత్తమంగా,Yes
viswasaniiyamgaa,విశ్వసనీయంగా,విశ్వసనీయంగా,Yes
dongala,దొంగలా,దొంగల,No
devalayam,దేవాలయం,దేవాలయం,Yes
dhadito,దాడితో,దడితో,No
miller,మిల్లెర్,మిల్లర్,No
kunuku,కునుకు,కుకుకు,No
geraald,గెరాల్డ్,గెరాల్డ్,Yes
marche,మార్చే,మార్చే,Yes
innayya,ఇన్నయ్య,ఇన్నయ్య,Yes
undho,ఉందో,ఉండో,No
unnadi,ఉన్నది,ఉన్నది,Yes
muulikala,మూలికల,మూళికల,No
dopidee,దోపిడీ,దోపిడీ,Yes
saralata,సరళత,సరళాట,No
bhatt,భట్,భాట్,No
yamakinkarulu,యమకింకరులు,యమకింకారులు,No
vishwaasaalanu,విశ్వాసాలను,విశ్వాశాలను,No
impugaa,ఇంపుగా,ఇంపుగా,Yes
cheppukonnappatiki,చెప్పుకొన్నప్పటికీ,చెప్పుకొన్నప్పటికీ,Yes
bengaluru,బెంగళూరు,బెంగుళూరు,No
dayton,డేటన్,డేట్నన్,No
mudadugula,మూడడుగుల,ముడదుగుల,No
vilekharulato,విలేఖరులతో,విలేఖరులతో,Yes
raaninchaadu,రాణించాడు,రాణించాడు,Yes
ochoa,ఒచోవా,ఒచో,No
kakeseeaar,కకేసీఆర్,కాేసీీార్,No
september,సెప్టెంబర్,సెప్టెర్బర్,No
hastal,హాస్టల్,హస్తాల్,No
divaan,దివాన్,దివాన్,Yes
gutti,గుట్టి,గుట్టి,Yes
panchakamu,పంచకము,పంచకము,Yes
berlin,బెర్లిన్,బెర్లిన్,Yes
sangli,సంగ్లీ,సంగ్లి,No
holidays,హాలిడేస్,హొలిడేస్,No
dahlan,డహ్లాన్,దాహ్లన్,No
len,లేన్,లెన్,No
dhvaninche,ధ్వనించే,ధ్వణించే,No
nerasthulaku,నేరస్థులకు,నేరస్థులకు,Yes
vinaayakudu,వినాయకుడి,వినాయకుడు,No
gaayanii,గాయనీ,గాయనీ,Yes
chotulo,చోటులో,చోటులో,Yes
sanghaaniki,సంఘానికి,సంఘానికి,Yes
chaeyunu,చేయును,చేయును,Yes
gurtinchadagga,గుర్తించదగ్గ,గుర్తించదగ్గ,Yes
flynn,ఫ్లిన్,ఫ్లైన్,No
raajadhaanulu,రాజధానులు,రాజధానులు,Yes
pasco,పాస్కో,పాస్కో,Yes
eeloogaa,ఈలోగా,ఈలోగా,Yes
nersthulanu,నేరస్థులను,నేర్స్థులను,No
diviteeni,దివిటీని,దివితీని,No
funk,ఫంక్,ఫంక్,Yes
vijayaalanu,విజయాలను,విజయాలను,Yes
yellu,ఏళ్లు,యెల్లు,No
mehra,మెహ్రా,మెహ్ర,No
chebutunnaamane,చెబుతున్నామనే,చెబుతున్నామనే,Yes
carey,క్యారీ,కరే,No
madikeri,మదికెరి,మడికేరి,No
cheetu,చేటు,చీటు,No
darakhaastulu,దరఖాస్తులు,దరఖాస్తులు,Yes
prasaaraalaku,ప్రసారాలకు,ప్రసారాలకు,Yes
aghaani,అజ్ఞాని,అఘాని,No
keerthini,కీర్తిని,కీర్తిని,Yes
sampradinchaaru,సంప్రదించారు,సంప్రదించారు,Yes
podachupayi,పొడచూపాయి,పొడచూపాయి,Yes
shobhitudai,శోభితుడై,శోభితుడై,Yes
aalochistunnaamannaaru,ఆలోచిస్తున్నామన్నా,ఆలోచిస్తున్నామన్నారు,No
reputunnaayi,రేపుతున్నాయి,రేపుతున్నాయి,Yes
anyapadesamga,అన్యాపదేశంగా,అన్యపదేశంగా,No
raajavvato,రాజవ్వతో,రాజవ్వతో,Yes
dhaanya,ధాన్య,ధాన్య,Yes
telamgaanham,తెలంగాణం,తెలంగాణం,Yes
vedamunu,వేదమును,వేదమును,Yes
katnam,కట్నం,కట్నామ్,No
