True Input,True Output,My Decoded Output,Matching or Not
novosellic,నోవోసెల్లిక్,నోవెస్లిక్స్,No
sira,సిరా,సిరా,Yes
santaanotpattiki,సంతానోత్పత్తికి,సంతానప్తత్తికి,No
charithrakarula,చరిత్రకారులు,చరిత్రకరుల,No
staem,స్టెమ్,స్టెమ్,Yes
grahaaniki,గ్రహానికి,గ్రహానికి,Yes
prakatinchukontunnaaru,ప్రకటించుకొంటున్నా,ప్రకటించుకొంటున్నారు,No
hines,హైన్స్,హైనెస్,No
gajaendhra,గజేంద్ర,గజజేంద్ర,No
buchanan,బుచానన్,బుచానన్,Yes
kottataadu,కొట్టతాడు,కొత్తతాడు,No
niraasaku,నిరాసకు,నిరాసకు,Yes
iddarni,ఇద్దర్ని,ఇద్దర్ని,Yes
maarchestaaranukunna,మార్చేస్తారనుకున్న,మార్చేసాతారుకున్నాన,No
savaallu,సవాళ్లు,సవాళ్ళు,No
pattina,పట్టిన,పట్టిన,Yes
bender,బెండర్,బెందెర్,No
barai,బారై,బరరై,No
prayojanakarangaa,ప్రయోజనకరంగా,ప్రయోజనకరణంగా,No
undhannadi,ఉందన్నది,ఉంధన్నది,No
rivas,రివాస్,రివాస్,Yes
pramaanha,ప్రమాణ,ప్రమాణ,Yes
maarutunnaananii,మారుతున్నాననీ,మారుతున్నాననీ,Yes
ekkuvagaane,ఎక్కువగానే,ఎక్కువగానే,Yes
praveshapettabadindho,ప్రవేశపెట్టబడిందో,ప్రవేశపెట్టబడిందో,Yes
bulandshahr,బులంద్షహర్,బులాంద్హార్,No
arhuraalani,అర్హురాలని,అరురారాలని,No
castaneda,కాస్టనెడ,కాస్టానేదా,No
nruthyaaniki,నృత్యానికి,నృత్యానికి,Yes
dohadapade,దోహదపడే,దోహదపడడే,No
dispur,దిస్పుర్,డిస్పూర్,No
ounu,ఔను,ఒను,No
vikki,విక్కీ,విక్కి,No
buttinchu,బుట్టించు,బుటిటించు,No
choosukovaalani,చూసుకోవాలని,చూసుకోవాలని,Yes
sikimdar,సికిందర్,సికిందర్,Yes
avataar,అవతార్,అవతార్,Yes
chotuchaesukuntaayi,చోటుచేసుకుంటాయి,కొటుచేసుకుంటాయి,No
cosamani,కోసమని,కోసమని,Yes
teesukuntaamani,తీసుకుంటామని,తీసుకుంటామని,Yes
angeekarinchi,అంగీకరించి,అంగీకరించి,Yes
castalloy,కాస్ట్అల్లాయ్,కాస్టాలల్,No
saakshyaalanu,సాక్ష్యాలను,సాక్ష్యాలను,Yes
vahinchina,వహించినా,వహించిన,No
jaataralo,జాతరలో,జాతారలో,No
deeshamunaku,దేశమునకు,దీషమునకు,No
dharmshala,ధర్మశాల,ధర్మ్లా,No
kaladi,కలదీ,కలలది,No
eaton,ఎటన్,ఈటోన్,No
pettukuntunnaare,పెట్టుకుంటున్నారే,పెట్టుకుంటున్నారే,Yes
whirlpool,వర్లపుల్,విర్ప్ల్,No
nirdharinchadam,నిర్ధారించడం,నిర్ధరించడం,No
aasrayinchaaru,ఆశ్రయించారు,ఆశ్రయించారు,Yes
anoo,అనో,అనూ,No
sathyamuurthi,సత్యమూర్తి,సత్యమూర్తి,Yes
alwadhi,అల్వాధి,అల్వాధి,Yes
manro,మన్రో,మన్రో,Yes
tappinchukovadamlonoo,తప్పించుకోవడంలోనూ,తప్పించుకోవడంలోనూ,Yes
atul,అతుల్,అటుల్,No
nirdhaarinchaadu,నిర్ధారించాడు,నిర్ధారించాడు,Yes
jeffersonville,జెఫర్సన్విల్,జెంపోర్సింవెళ్లే,No
tiwari,తివారి,తివారి,Yes
dhishaa,దిశా,ధిషి,No
durgavansh,దుర్గవంష్,దుర్గానాం్,No
chikkati,చిక్కటి,చిక్కటి,Yes
prozect,ప్రాజెక్ట్,ప్రోజెక్ట్,No
ladakh,లడఖ్,లదాఖ్,No
darmapuri,ధర్మపురి,దర్మాపురి,No
behuria,బెహూరియా,బెహురియా,No
samudramulo,సముద్రములో,సముద్రములో,Yes
olympia,ఒలింపియా,ఒలింపియా,Yes
tanikhilu,తనిఖీలు,తనిఖిలు,No
mantapamu,మంటపము,మంటపము,Yes
caart,కార్ట్,కార్ట్,Yes
oorugallunu,ఓరుగల్లును,ఊరుగల్లును,No
criyalu,క్రియలు,క్రియాలు,No
ivvaalanna,ఇవ్వాలన్న,ఇవ్వాలన్న,Yes
nirnayamtho,నిర్ణయంతో,నిర్ణయంతో,Yes
brahmaanda,బ్రహ్మాండ,బ్రహ్మాంద,No
parinamistaaru,పరిణమిస్తారు,పరిణమిస్తారు,Yes
pacifica,పసిఫిక,పాసిఫిక్,No
chengalpattu,చెంగల్పట్టు,చెంగల్పట్టు,Yes
pinni,పిన్ని,పిన్ని,Yes
behar,బెహర్,బెహర్,Yes
buldhana,బుల్ధనా,బుల్ధనా,Yes
chinnadi,చిన్నది,చిన్నది,Yes
angikarinche,అంగీకరించే,అంగీకరించే,Yes
praananga,ప్రాణంగా,ప్రాణంగ,No
vaivaswatha,వైవస్వత,వైశవ్్త,No
truptimundu,తృప్తిముందు,తృప్తిముండు,No
daallaas,డల్లాస్,దాల్లాస్,No
whiski,విస్కీ,విస్కి,No
mishato,మిషతో,మిషాతో,No
compose,కంపోజ్,కాంపోస్,No
utilities,యుటిలిటీస్,ఉటిలిటీస్,No
viiriddarinii,వీరిద్దరినీ,వీరిద్దరినీ,Yes
frederick,ఫ్రెడరిక్,ఫ్రెడెరిక్,No
prabho,ప్రభో,ప్రభో,Yes
gnaapamgaa,జ్ఞాపంగా,జ్ఞాపంగా,Yes
mathew,మాథ్యూ,మాథెవ్,No
madrasuku,మద్రాసుకు,మద్రాసుకు,Yes
katihar,కటిహర్,కాిహార్,No
heeraakood,హీరాకూడ్,హీరాకూడ్,Yes
nobul,నోబుల్,నోబుల్,Yes
dharpanam,దర్పణం,ధా్్పానం,No
annintinii,అన్నింటినీ,అన్నింటినీ,Yes
uttarakoriyaa,ఉత్తరకొరియా,ఉత్తరకొరియా,Yes
vondala,వొందల,వొండాలా,No
yedhurkonendhuku,ఎదుర్కొనేందుకు,ఏేధ్కొకొనేందుకు,No
digudu,దిగుడు,దిగుడు,Yes
lancaster,లన్కాస్టర్,లాన్స్టర్,No
undo,ఉందో,ఉండో,No
yemmiganur,ఎమ్మిగనూర్,యామ్మిగనన్,No
poll,పోల్,పోల్,Yes
saiqil,సైకిల్,సైకిల్,Yes
sanoop,సనూప్,సనాప్,No
freeman,ఫ్రీమ్యాన్,ఫ్రీమన్,No
chaddi,చద్ది,చాడ్డి,No
gurnani,గుర్ణని,గుర్ణాని,No
akolkar,అకోల్కర్,ఆకోల్కర్,No
gilmore,గిల్మోర్,గిల్మోర్,Yes
teesenduku,తీసేందుకు,తీసేందుకు,Yes
manasulone,మనసులోనే,మనసులోనే,Yes
kadhalugaa,కధలుగా,కథలుగా,No
prachaaraamsham,ప్రచారాంశం,ప్రాారంశం,No
whistle,విజిల్,విస్తల్,No
prateecharyalo,ప్రతీచర్యలో,ప్రతీచర్యలో,Yes
saanukoolata,సానుకూలత,సానుకూలత,Yes
aerpadaka,ఏర్పడక,ఆర్పాదక,No
syracuse,సైరక్యూస్,సైర్కుయే,No
rasindi,రాసింది,రాసింది,Yes
saralatha,సరళత,సరలత,No
boksing,బాక్సింగ్,బోక్సింగ్,No
vydyamlo,వైద్యంలో,విద్యంలో,No
oraacle,ఒరాకిల్,ఒరాక్ల్,No
chha,ఛ,చోహ్,No
aemaathram,ఏమాత్రం,ఈమాత్రం,No
sabhalloo,సభల్లో,సాల్లో,No
costa,కోస్తా,కోస్టా,No
varninchukuntunnaaru,వర్ణించుకుంటున్నార,వర్ణించుకుంటున్నారు,No
fluuid,ఫ్లూయిడ్,ఫ్లూడిడ్,No
cheppay,చెప్పే,చెప్పే,Yes
daaktarugaa,డాక్టరుగా,డాక్తరుగా,No
ghatane,ఘటనే,ఘటననే,No
raallapalli,రాళ్ళపల్లి,రాళ్లపల్లి,No
poosi,పూసి,పోసి,No
bhatnagar,భట్నాగర్,భటన్నగర్,No
kalugadu,కలుగదు,కలుగాడు,No
parishkarinchenduku,పరిష్కరించేందుకు,పరిష్కరించేందుకు,Yes
vijayamu,విజయము,విజయము,Yes
charithrakaarula,చరిత్రకారుల,చరిత్రకారుల,Yes
podhupunu,పొదుపును,పోధుపును,No
azhar,అజహర్,అజార్,No
natistuunee,నటిస్తూనే,నటిస్తూనే,Yes
coimbatore,కోయంబత్తూర్,కాయోబాోర్,No
rudraa,రుద్రా,రుద్రా,Yes
sanchaara,సంచార,సంచార,Yes
sofhiya,సోఫియా,సోఫియా,Yes
sareeramlooki,శరీరంలోకి,సరీరంలోకి,No
mandalini,మండలిని,మండలిని,Yes
ketkhup,కెచప్,కెత్క్,No
kachheri,కచ్చేరీ,కచ్చెరి,No
dheepaala,దీపాల,దీపాల,Yes
paibhaagaanni,పైభాగాన్ని,పైభాగాన్ని,Yes
tallidandrulato,తల్లిదండ్రులతో,తల్లిదంద్రులతో,No
shoes,షూస్,షోఎస్,No
shaw,షా,షావ్,No
maakiitopaatu,మాకీతోపాటు,మాకితోపాటు,No
magavaallu,మగవాళ్ళు,మగవాళ్లు,No
imtaku,ఇంతకు,ఇంతకు,Yes
sambhaashanalalo,సంభాషణలలో,సంభాషణలలో,Yes
pope,పోప్,పోపి,No
taggipoyaayi,తగ్గిపోయాయి,తగ్గిపోయాయి,Yes
phenix,ఫీనిక్స్,ఫెనిక్స్,No
dhelleeni,ఢిల్లీని,దేల్లీని,No
madraasuloo,మద్రాసులో,మద్రాసులో,Yes
yogyudagunu,యోగ్యుడగును,యోగ్యుగడును,No
teere,తీరే,తీరే,Yes
swain,స్వెయిన్,స్వైన్,No
theesiveyadaniki,తీసివేయడానికి,తీసివేయడానికి,Yes
jaateeyasthaayilo,జాతీయస్థాయిలో,జాతీయాస్థాయిలో,No
stets,స్టేట్స్,స్టెట్స్,No
pottaloo,పొట్టలో,పొట్టలో,Yes
navvulaatani,నవ్వులాటని,నవ్వులాటని,Yes
radha,రాధ,రాధ,Yes
koppadataarani,కోప్పడతారని,కొప్పడతారని,No
cortes,కోర్టెస్,కోర్టెస్,Yes
pratipabha,ప్రతిపభ,ప్రతిపప,No
sathyamgaa,సత్యంగా,సత్యంగా,Yes
vyarthamavutunnaayi,వ్యర్థమవుతున్నాయి,వ్యర్తమవుతున్నాయి,No
pyramid,పిరమిడ్,ప్రమిద్,No
manchikanti,మంచికంటి,మంచికంటి,Yes
bantito,బంతితో,బంతితో,Yes
delhiki,ఢిల్లీకి,దెలిహికి,No
eastvale,ఎస్త్వలే,ఈస్త్వాలే,No
pettoddani,పెట్టొద్దని,పెట్టొద్దని,Yes
bishnupur,బిష్ణుపూర్,బిష్నుపూర్,No
fairfield,ఫెయిర్ఫీల్డ్,ఫెయిర్ఫైల్డ్,No
mantakalustunnayi,మంటకలుస్తున్నాయి,మంతాలక్స్తున్నాయి,No
reservation,రిజర్వేషన్,రిస్రేవేషన్,No
nivasanni,నివాసాన్ని,నివాసనన్ని,No
pinganaashtakamu,పింగనాష్టకము,పింగనాష్ఠకము,No
avery,అవెరీ,అవేరీ,No
uttarayanamu,ఉత్తరాయణము,ఉత్తరాయను,No
purapaalaka,పురపాలక,పురపాలక,Yes
nishedhinchaadu,నిషేధించాడు,నిషేధించాడు,Yes
shaeru,షేరు,షేరు,Yes
minerals,మినరల్స్,మినరాల్స్,No
rajamandri,రాజమండ్రి,రాజమంద్రి,No
deevaalayamunu,దేవాలయమును,దీవాలమును,No
vishwasaneeyatha,విశ్వసనీయత,విశ్వసనీయత,Yes
darilone,దారిలోనే,దారిలోనే,Yes
criyalaku,క్రియలకు,క్రియలలకు,No
logistics,లాజిస్టిక్స్,లోగిస్టిక్స్,No
rogalu,రోగాలు,రోగలు,No
balaheenathalanu,బలహీనతలను,బలహీనతలను,Yes
thannina,తన్నిన,తన్నినా,No
nyaayanirnetagaa,న్యాయనిర్ణేతగా,న్యాయనిర్ణేతగా,Yes
chadunuga,చదునుగా,చదునుగా,Yes
visheshanam,విశేషణం,విశేషణం,Yes
jagaragallu,జాగరాగల్లు,జగరగాళ్లు,No
jeens,జీన్స్,జీన్స్,Yes
richaa,రిచా,రిచా,Yes
praantaala,ప్రాంతాల,ప్రాంతాల,Yes
yenda,ఎండ,యనంద,No
swaralu,స్వరాలు,స్వరాలు,Yes
elina,ఏలిన,ఎలీనా,No
unchaali,ఉంచాలి,ఉంచాలి,Yes
shathakam,శతకం,శాతకం,No
raapid,రాపిడ్,రాపిడ్,Yes
tesukelutunnaamani,తీసుకెళుతున్నామని,తేసుకెతుతున్నామని,No
pradarshistunnada,ప్రదర్శిస్తున్నాడా,ప్రద్రిస్తున్నాడా,No
penchukunenduku,పెంచుకునేందుకు,పెంచుకునేందుకు,Yes
fortis,ఫోర్టిస్,ఫోర్టిస్,Yes
tanakuu,తనకూ,తనకూ,Yes
yuddavimaanaallo,యుద్ధవిమానాల్లో,యుద్దామినాాల్లో,No
nethaajelo,నేతాజీలో,నేతాజెలో,No
panicheyinchukunnaarani,పనిచేయించుకున్నారన,పనిచేయించుకున్నారని,No
spirits,స్పిరిట్స్,స్పిరిట్స్,Yes
bhayaanakamgaa,భయానకంగా,భయాానకంగా,No
doopideelu,దోపిడీలు,దూపిడీలు,No
prakatinchadamloni,ప్రకటించడంలోని,ప్రకటించడంలోని,Yes
maharashtra,మహారాష్ట్ర,మహాాష్ర్ర,No
cheppisthondani,చెప్పిస్తోందని,చెప్పిస్తోందని,Yes
soto,సోతో,సోటో,No
dinchanunnadi,దించనున్నది,దించనున్నది,Yes
larson,లార్సన్,లార్సన్,Yes
kundabaddalu,కుండబద్దలు,కుండబడ్డాలు,No
dev,దేవ్,డెవ్,No
antaristaaru,అంతరిస్తారు,అంతరిస్తారు,Yes
koojaa,కూజా,కోజా,No
perkonandi,పేర్కొనండి,పెర్కొనండి,No
gehlot,గెహ్లాట్,గెలోట్,No
duradrushtavashaattu,దురదృష్టవశాత్తు,దురదృష్టవశ్థతు,No
dallaas,డల్లాస్,దల్లాస్,No
sangatini,సంగతిని,సంగతిని,Yes
marks,మార్క్స్,మార్క్స్,Yes
feedeeration,ఫెడరేషన్,ఫీడెరిషన్,No
teesukupovadaaniki,తీసుకుపోవడానికి,తీసుకోవడపడానికి,No
daggarloeni,దగ్గర్లోని,దగ్గర్లోని,Yes
chandernagore,చండర్నగర్,చందన్నగోర్,No
nalo,నాలో,నలో,No
vyooharachanalloonoo,వ్యూహరచనల్లోనూ,వ్యూహరాలన్లోనూ,No
leraa,లేరా,లేరా,Yes
thathvavethalu,తత్వవేత్తలు,తత్వవేతలు,No
kansal,కాన్సల్,కన్సాల్,No
vaenkatasaastri,వేంకటశాస్త్రి,వాంతకశాస్త్రి,No
churchilalo,చర్చిలలో,చుర్చిలలో,No
naaz,నాజ్,నాజ్,Yes
charchinchadaniki,చర్చించడానికి,చర్చించడానికి,Yes
nainital,నైనిటాల్,నెనిటల్,No
bannari,బణ్ణారి,బన్నారి,No
vibhoodhi,విభూది,విభూధి,No
taati,తాటి,తాటి,Yes
guwahati,గౌహతి,గువాహతి,No
inappatikee,ఐనప్పటికీ,ఇనప్పటికీ,No
cheppalekapoyaru,చెప్పలేకపోయారు,చెప్పలేకపోయారు,Yes
leduraa,లేదురా,లేదురా,Yes
aromatics,అరొమ్యటిక్స్,ఆరోమాటిక్స్,No
ithivrutthaalu,ఇతివృత్తాలు,ఇతివృత్తాలు,Yes
kaasiloo,కాశీలో,కాసిలో,No
choosinatlayite,చూసినట్లయితే,చూసినట్లయితే,Yes
kaamredlu,కామ్రేడ్లు,కాంపేడ్లు,No
keerti,కీర్తి,కీర్తి,Yes
rane,రానే,రాీ,No
cheppinatlugaa,చెప్పినట్లుగా,చెప్పినట్లుగా,Yes
pravesinche,ప్రవేశించే,ప్రవేశించే,Yes
godhumalanu,గోధుమలను,గోడుమాలను,No
daman,డామన్,దామాన్,No
thalapimchey,తలపించే,తలపించెయ్,No
hydrocarba,హైడ్రోకార్బ,హైర్రోకార్బా,No
vitthanam,విత్తనం,విత్తనం,Yes
theesukookundaa,తీసుకోకుండా,తీసుకోకుండా,Yes
sind,సింద్,సిండ్,No
kalraa,కలరా,కల్రా,No
gosangi,గోసంగి,గోసంగి,Yes
sheershikaku,శీర్షికకు,శీర్షికకు,Yes
teelchadam,తేల్చడం,తేల్చడం,Yes
betul,బెటుల్,బిటుల్,No
dibrugarh,డిబ్రూగర్,దిబ్రుగార్,No
kochi,కొచ్చి,కొచ్చి,Yes
heal,హీల్,హెల్,No
watson,వాట్సన్,వాట్సన్,Yes
naayaku,నాయకు,నాయకు,Yes
todella,తోడేళ్ళ,టోడెల్ల,No
washington,వాషింగ్టన్,వాషింగ్టన్,Yes
waagwaadaaniki,వాగ్వాదానికి,వాగ్వాదానికి,Yes
urdulo,ఉర్దూలో,ఉర్దులో,No
asthramulu,అస్త్రములు,అస్త్రములు,Yes
poshinchaannaaru,పోషించాన్నారు,పోషించాన్నారు,Yes
khandinchi,ఖండించి,ఖండించి,Yes
divyamyna,దివ్యమైన,దివ్యమ్న,No
pramanamulu,ప్రమాణములు,ప్రమాణములు,Yes
jaipur,జైపూర్,జైపూర్,Yes
paeda,పేడ,పాదా,No
kashtamie,కష్టమై,కష్టమమీ,No
cheppalani,చెప్పాలని,చెప్పాలని,Yes
rendintalu,రెండింతలు,రెండింతలు,Yes
terapaina,తెరపైన,తెరపైన,Yes
andamunu,అందమును,అందమును,Yes
muulikaa,మూలికా,మూలికా,Yes
portillo,పోర్టిల్లో,పోర్టిల్లో,Yes
telchindi,తేల్చింది,తేల్చింది,Yes
melin,మేలిన్,మెలిన్,No
moradabad,మొరాదాబాద్,మొరబడద్,No
amer,అమీర్,అమెర్,No
vyavaharistondani,వ్యవహరిస్తోందని,వ్యవహరిస్తోందని,Yes
phaaloo,ఫాలో,ఫాలో,Yes
niraakarinchataanni,నిరాకరించటాన్ని,నిరాకరించటాన్ని,Yes
pandagaa,పండగా,పాండగా,No
jarnalistulanu,జర్నలిస్టులను,జర్నలిస్టులను,Yes
sijanlo,సీజన్లో,సిజన్లో,No
praarambhinchaaranna,ప్రారంభించారన్న,ప్రారంఘించారన్న,No
hassan,హాసన్,హాసన్,Yes
ganibavinchi,ఘనీభవించి,గనివాించి,No
bathroomloni,బాత్రూంలోని,బత్రూంలోని,No
sarvasabhya,సర్వసభ్య,సర్వసభ్య,Yes
laen,లేన్,లాన్,No
maddox,మ్యడ్డాక్స్,మాడాడ్స్,No
vestunnaarenti,వేస్తున్నారేంటి,వేస్తున్నారేంటి,Yes
paasta,పాస్తా,పాస్తా,Yes
taaraabaasov,తారాబాసోవ్,తారాబాసావ్,No
phalitaalato,ఫలితాలతో,ఫలితాలతో,Yes
shmashanavatika,శ్మశానవాటిక,శేమనవాతిక,No
rajahmundry,రాజమండ్రి,రాజాంధ్రంరీ,No
yerpadenduku,ఏర్పడేందుకు,యప్పదేందుకు,No
paalpadindi,పాల్పడింది,పాలపడింది,No
vintuu,వింటూ,వింటూ,Yes
paruvupoyi,పరువుపోయి,పరువుపోయి,Yes
inc,ఇంక్,ఇన్క్,No
piji,పిజి,పిజి,Yes
rockford,రాక్ఫోర్డ్,రాక్కోర్డ్,No
mayuuram,మయూరం,మాయూరం,No
agnipramaadam,అగ్నిప్రమాదం,అగ్నిప్రమాదం,Yes
adhyayanamu,అధ్యయనము,అధ్యాయణము,No
dopidiki,దోపిడీకి,దోపిడికి,No
chanakya,చాణక్య,చాణా్య,No
utthamamgaa,ఉత్తమంగా,ఉత్తమంగా,Yes
viswasaniiyamgaa,విశ్వసనీయంగా,విశ్వనసీయంగా,No
dongala,దొంగలా,దొంగాలా,No
devalayam,దేవాలయం,దేవలయం,No
dhadito,దాడితో,ధాదితో,No
miller,మిల్లెర్,మిలర్,No
kunuku,కునుకు,కునుకు,Yes
geraald,గెరాల్డ్,గెరాల్డ్,Yes
marche,మార్చే,మార్చే,Yes
innayya,ఇన్నయ్య,ఇన్నయ్య,Yes
undho,ఉందో,ఉండో,No
unnadi,ఉన్నది,ఉన్నది,Yes
muulikala,మూలికల,మూలికల,Yes
dopidee,దోపిడీ,డోపిడీ,No
saralata,సరళత,సరలలత,No
bhatt,భట్,భట్ట్,No
yamakinkarulu,యమకింకరులు,యామకింకరులు,No
vishwaasaalanu,విశ్వాసాలను,విశ్వాసాలను,Yes
impugaa,ఇంపుగా,ఇంపుగా,Yes
cheppukonnappatiki,చెప్పుకొన్నప్పటికీ,చెప్పుకొన్నప్పటికీ,Yes
bengaluru,బెంగళూరు,బెంగలూరు,No
dayton,డేటన్,డాయోన్,No
mudadugula,మూడడుగుల,ముదాగుగుల,No
vilekharulato,విలేఖరులతో,విలేఖరులతో,Yes
raaninchaadu,రాణించాడు,రాణించాడు,Yes
ochoa,ఒచోవా,ఒచ్చోయా,No
kakeseeaar,కకేసీఆర్,కాకీసీరార్,No
september,సెప్టెంబర్,సెప్టెంరర్,No
hastal,హాస్టల్,హస్తాల్,No
divaan,దివాన్,దివాన్,Yes
gutti,గుట్టి,గుట్టి,Yes
panchakamu,పంచకము,పంచకము,Yes
berlin,బెర్లిన్,బెర్లిన్,Yes
sangli,సంగ్లీ,సాంగ్లి,No
holidays,హాలిడేస్,హోలిడేయ్స్,No
dahlan,డహ్లాన్,దాహ్లన్,No
len,లేన్,లెన్,No
dhvaninche,ధ్వనించే,ధ్వనించే,Yes
nerasthulaku,నేరస్థులకు,నేరస్థులకు,Yes
vinaayakudu,వినాయకుడి,వినాయకుడు,No
gaayanii,గాయనీ,గాయనీ,Yes
chotulo,చోటులో,చోటులో,Yes
sanghaaniki,సంఘానికి,సంఘానికి,Yes
chaeyunu,చేయును,చేయును,Yes
gurtinchadagga,గుర్తించదగ్గ,గుర్తించదగ్గ,Yes
flynn,ఫ్లిన్,ఫెలిన్,No
raajadhaanulu,రాజధానులు,రాజధానులు,Yes
pasco,పాస్కో,పాస్కో,Yes
eeloogaa,ఈలోగా,ఈలోగా,Yes
nersthulanu,నేరస్థులను,నెర్స్థులను,No
diviteeni,దివిటీని,దివితీని,No
funk,ఫంక్,ఫంక్,Yes
vijayaalanu,విజయాలను,విజయాలను,Yes
yellu,ఏళ్లు,యెల్లు,No
mehra,మెహ్రా,మెహ్రా,Yes
chebutunnaamane,చెబుతున్నామనే,చెబుతున్నామనే,Yes
carey,క్యారీ,కేరెయ్,No
madikeri,మదికెరి,మాదికేరి,No
cheetu,చేటు,చీటు,No
darakhaastulu,దరఖాస్తులు,దరఖాస్తులు,Yes
prasaaraalaku,ప్రసారాలకు,ప్రసారాలకు,Yes
aghaani,అజ్ఞాని,అఘాని,No
keerthini,కీర్తిని,కీర్తిని,Yes
sampradinchaaru,సంప్రదించారు,సంప్దరించారు,No
podachupayi,పొడచూపాయి,పోచచుపాయి,No
shobhitudai,శోభితుడై,శుభితుడై,No
aalochistunnaamannaaru,ఆలోచిస్తున్నామన్నా,ఆలోచిస్తున్నామన్నారు,No
reputunnaayi,రేపుతున్నాయి,రేపుతున్నాయి,Yes
anyapadesamga,అన్యాపదేశంగా,అన్యపదేశంగా,No
raajavvato,రాజవ్వతో,రాజవ్వతో,Yes
dhaanya,ధాన్య,ధానన్య,No
telamgaanham,తెలంగాణం,తెలంగాహం,No
vedamunu,వేదమును,వేదమును,Yes
katnam,కట్నం,కట్నం,Yes
sthaapistunnayi,స్థాపిస్తున్నాయి,స్థాపిస్తున్నాయి,Yes
